id,name,category,brand,tags
item_243,Beyond Snack Desi Masala Kerala Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack desi masala kerala banana chips - pack of 2 vegetables fresh
item_244,Lay's Classic Salted Flavor Potato Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,lay's classic salted flavor potato chips - pack of 2 vegetables fresh
item_245,Beyond Snack Salt & Black Pepper Kerala Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack salt & black pepper kerala banana chips - pack of 2 vegetables fresh
item_246,"Beyond Snack Sour Cream, Onion & Parsley Kerala Banana Chips - Pack of 2",Fresh Produce 🍅,Fresh Produce,"beyond snack sour cream, onion & parsley kerala banana chips - pack of 2 vegetables fresh"
item_247,Lay's Indian Masala Magic Flavor Potato Chips (73 g),Fresh Produce 🍅,Fresh Produce,lay's indian masala magic flavor potato chips vegetables fresh
item_248,Beyond Snack Kerala Peri Peri Banana Chips - Pack of 2,Fresh Produce 🍅,Fresh Produce,beyond snack kerala peri peri banana chips - pack of 2 vegetables fresh
item_249,Piknik Classic Tomato Chilli Soya Sticks - Pack of 4,Fresh Produce 🍅,Fresh Produce,piknik classic tomato chilli soya sticks - pack of 4 vegetables fresh
item_250,Lay's Gourmet Potato Chips - Vintage Cheese & Paprika Flavour - Pack of 2,Fresh Produce 🍅,Fresh Produce,lay's gourmet potato chips - vintage cheese & paprika flavour - pack of 2 vegetables fresh
item_251,Bingo Mad Angles Tomato Madness Crisps - Pack of 3,Fresh Produce 🍅,Fresh Produce,bingo mad angles tomato madness crisps - pack of 3 vegetables fresh
item_252,Pringles Pizza Flavoured Potato Chips,Fresh Produce 🍅,Fresh Produce,pringles pizza flavoured potato chips vegetables fresh
item_253,Natkhat Masala Wheat Puff Crisps (82 g),Fresh Produce 🍅,Fresh Produce,natkhat masala wheat puff crisps vegetables fresh
item_254,Crax Cheese Balls - Pack of 3,Fresh Produce 🍅,Fresh Produce,crax cheese balls - pack of 3 vegetables fresh
item_255,Let's Try Potato Wafers (60 g),Fresh Produce 🍅,Fresh Produce,let's try potato wafers vegetables fresh
item_256,Peppy Tomato Discs Crisps - Pack of 4,Fresh Produce 🍅,Fresh Produce,peppy tomato discs crisps - pack of 4 vegetables fresh
item_257,Pringles South African Peri Peri Chips,Fresh Produce 🍅,Fresh Produce,pringles south african peri peri chips vegetables fresh
item_258,Gulab Aloo Chips (150 g),Fresh Produce 🍅,Fresh Produce,gulab aloo chips vegetables fresh
item_259,Pringles Tangy Tomato Twist Potato Chips + Sprite Lime Flavored Soft Drink 750 ml Combo (102 g + 750 ml),Fresh Produce 🍅,Fresh Produce,pringles tangy tomato twist potato chips + sprite lime flavored soft drink 750 ml combo vegetables fresh
item_260,Saffola Munchiez Masala Twist Ragi Chips (80 g),Fresh Produce 🍅,Fresh Produce,saffola munchiez masala twist ragi chips vegetables fresh
item_261,Chheda's Salt-n-Pepper Banana Chips - 170 g (170 g),Fresh Produce 🍅,Fresh Produce,chheda's salt-n-pepper banana chips - 170 g vegetables fresh
item_262,Kurkure Chaat Fills Crisps (Bhel Chutney Twist) (40 g),Fresh Produce 🍅,Fresh Produce,kurkure chaat fills crisps (bhel chutney twist) vegetables fresh
item_263,Pringles Desi Masala Tadka Potato Chips,Fresh Produce 🍅,Fresh Produce,pringles desi masala tadka potato chips vegetables fresh
item_264,Bingo Mad Angles Achaari Masti Crisps + Bingo Mad Angles Tomato Madness Crisps + Bingo Mad Angles Masala Madness Crisps Combo (66 g + 66 g + 66 g),Fresh Produce 🍅,Fresh Produce,bingo mad angles achaari masti crisps + bingo mad angles tomato madness crisps + bingo mad angles masala madness crisps combo vegetables fresh
item_265,Maggi 2 - Minute Instant Noodles,Fresh Produce 🍅,Fresh Produce,maggi 2 - minute instant noodles vegetables fresh
item_266,Maggi Nutri-Licious Masala Veg Atta Noodles (290 g),Fresh Produce 🍅,Fresh Produce,maggi nutri-licious masala veg atta noodles vegetables fresh
item_267,Maggi Cuppa Masala Cup Noodles (70.5 g),Fresh Produce 🍅,Fresh Produce,maggi cuppa masala cup noodles vegetables fresh
item_268,Ching's Secret Just Soak Veg Hakka Noodles (140 g),Fresh Produce 🍅,Fresh Produce,ching's secret just soak veg hakka noodles vegetables fresh
item_269,Wai Wai Ready To Eat Chicken Flavoured Noodles (1 pack (6 pieces)),Fresh Produce 🍅,Fresh Produce,wai wai ready to eat chicken flavoured noodles vegetables fresh
item_270,Maggi Spicy Garlic Instant Noodles (248 g),Fresh Produce 🍅,Fresh Produce,maggi spicy garlic instant noodles vegetables fresh
item_271,Tops Plain Noodles (300 g),Fresh Produce 🍅,Fresh Produce,tops plain noodles vegetables fresh
item_272,Maggi Masala 2 Minutes Instant Noodles - Pack of 2 (2 x 280 g),Fresh Produce 🍅,Fresh Produce,maggi masala 2 minutes instant noodles - pack of 2 vegetables fresh
item_273,Wai Wai Ready To Eat Veg Masala Flavoured Noodles (1 pack (6 pieces)),Fresh Produce 🍅,Fresh Produce,wai wai ready to eat veg masala flavoured noodles vegetables fresh
item_274,Nissin Geki - Hot & Spicy Korean Veg Flavoured Instant Noodles - Pack of 3,Fresh Produce 🍅,Fresh Produce,nissin geki - hot & spicy korean veg flavoured instant noodles - pack of 3 vegetables fresh
item_275,Sunfeast Yippee Magic Masala Instant Noodles (240 g) (240 g),Fresh Produce 🍅,Fresh Produce,sunfeast yippee magic masala instant noodles (240 g) vegetables fresh
item_276,Maggi Cuppa Chilly Chow Cup Noodles (70 g),Fresh Produce 🍅,Fresh Produce,maggi cuppa chilly chow cup noodles vegetables fresh
item_277,Wai Wai Ready To Eat Cup Noodles (70 g),Fresh Produce 🍅,Fresh Produce,wai wai ready to eat cup noodles vegetables fresh
item_278,Nissin Mazedar Masala Cup Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,nissin mazedar masala cup noodles - pack of 2 vegetables fresh
item_279,Timios Millet Masala Flavoured Instant Noodles,Fresh Produce 🍅,Fresh Produce,timios millet masala flavoured instant noodles vegetables fresh
item_280,Top Ramen Curry Veg Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,top ramen curry veg noodles - pack of 2 vegetables fresh
item_281,Sunfeast Yippee Magic Masala Instant Noodles (12 x 60 g),Fresh Produce 🍅,Fresh Produce,sunfeast yippee magic masala instant noodles vegetables fresh
item_282,Yu Veg Hakka Noodles - Chowmein Style,Fresh Produce 🍅,Fresh Produce,yu veg hakka noodles - chowmein style vegetables fresh
item_283,Nissin Veggi Manchow Cup Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,nissin veggi manchow cup noodles - pack of 2 vegetables fresh
item_284,Nissin Geki Hot & Spicy Korean Veg Cup Noodles (70 g),Fresh Produce 🍅,Fresh Produce,nissin geki hot & spicy korean veg cup noodles vegetables fresh
